language_id,language_code,language_name
917,brg,baure
918,brh,brahui
919,bri,mokpwe
920,brj,bieria
921,brk,birked
922,brl,birwa
923,brm,barambu
924,brn,boruca
925,bro,brokkat
926,brp,barapasi
927,brq,breri
928,brr,birao
929,brs,baras
930,brt,bitare
931,bru,"bru, eastern"
932,brv,"bru, western"
933,brw,bellari
934,brx,boro
935,bry,burui
936,brz,bilbil
937,bsa,abinomn
938,bsb,"bisaya, brunei"
939,bsc,oniyan
940,bse,wushi
941,bsf,bauchi
942,bsg,bashkardi
943,bsh,kati
944,bsi,bassossi
945,bsj,bangwinji
946,bsk,burushaski
947,bsl,basa-gumna
948,bsm,busami
949,bsn,barasana-eduria
950,bso,buso
951,bsp,baga sitemu
952,bsq,bassa
953,bsr,bassa-kontagora
954,bss,akoose
955,bst,basketo
956,bsu,bahonsuai
957,bsv,baga sobané
958,bsw,baiso
959,bsx,yangkam
960,bsy,"bisaya, sabah"
961,bta,bata
962,btc,bati
963,btd,batak dairi
964,bte,gamo-ningi
965,btf,birgit
966,btg,"bété, gagnoa"
967,bth,"bidayuh, biatah"
968,bti,burate
969,btj,"malay, bacanese"
970,btm,batak mandailing
971,btn,ratagnon
972,bto,"bikol, rinconada"
973,btp,budibud
974,btq,batek
975,btr,baetora
976,bts,batak simalungun
977,btt,bete-bendi
978,btu,batu
979,btv,bateri
980,btw,butuanon
981,btx,batak karo
982,bty,bobot
983,btz,batak alas-kluet
984,bub,bua
985,buc,bushi
986,bud,ntcham
987,buf,bushoong
988,bug,bugis
989,buh,"bunu, younuo"
990,bui,bongili
991,buj,basa-gurmana
992,buk,bugawac
993,bul,bulgarian
994,bum,bulu
995,bun,sherbro
996,buo,terei
997,bup,busoa
998,buq,brem
999,bus,bokobaru
1000,but,bungain
1001,buu,budu
1002,buv,bun
1003,buw,bubi
1004,bux,boghom
1005,buy,bullom so
1006,buz,bukwen
1007,bva,barein
1008,bvb,bube
1009,bvc,baelelea
1010,bvd,baeggu
1011,bve,"malay, berau"
1012,bvf,boor
1013,bvg,bonkeng
1014,bvh,bure
1015,bvi,belanda viri
1016,bvj,baan
1017,bvk,bukat
1018,bvl,bolivian sign language
1019,bvm,bamunka
1020,bvn,buna
1021,bvo,bolgo
1022,bvp,bumang
1023,bvq,birri
1024,bvr,burarra
1025,bvt,bati
1026,bvu,"malay, bukit"
1027,bvv,baniva
1028,bvw,boga
1029,bvx,dibole
1030,bvy,baybayanon
1031,bvz,bauzi
1032,bwa,bwatoo
1033,bwb,namosi-naitasiri-serua
1034,bwc,bwile
1035,bwd,bwaidoka
1036,bwe,"karen, bwe"
1037,bwf,boselewa
1038,bwg,barwe
1039,bwh,bishuo
1040,bwi,baniwa
1041,bwj,"bwamu, láá láá"
1042,bwk,bauwaki
1043,bwl,bwela
1044,bwm,biwat
1045,bwn,"bunu, wunai"
1046,bwo,borna
1047,bwp,mandobo bawah
1048,bwq,"bobo madaré, southern"
1049,bwr,bura-pabir
1050,bws,bomboma
1051,bwt,bafaw-balong
1052,bwu,buli
1053,bww,bwa
1054,bwx,"bunu, bu-nao"
1055,bwy,"bwamu, cwi"
1056,bwz,bwisi
1057,bxa,tairaha
1058,bxb,belanda bor
1059,bxc,molengue
1060,bxd,pela
1061,bxe,ongota
1062,bxf,minigir
1063,bxg,bangala
1064,bxh,buhutu
1065,bxi,pirlatapa
1066,bxj,bayungu
1067,bxk,bukusu
1068,bxl,jalkunan
1069,bxm,"buriat, mongolia"
1070,bxn,burduna
1071,bxo,barikanchi
1072,bxp,bebil
1073,bxq,beele
1074,bxr,"buriat, russia"
1075,bxs,busam
1076,bxu,"buriat, china"
1077,bxv,berakou
1078,bxw,bankagooma
1079,bxz,binahari
1080,bya,batak
1081,byb,bikya
1082,byc,ubaghara
1083,byd,benyadu’
1084,bye,pouye
1085,byf,bete
1086,byg,baygo
1087,byh,bhujel
1088,byi,buyu
1089,byj,bina
1090,byk,biao
1091,byl,bayono
1092,bym,bidyara
1093,byn,bilen
1094,byo,biyo
1095,byp,bumaji
1096,byq,basay
1097,byr,yipma
1098,bys,burak
1099,byt,berti
1100,byv,medumba
1101,byw,belhariya
1102,byx,qaqet
1103,byz,banaro
1104,bza,bandi
1105,bzb,andio
1106,bzc,"malagasy, southern betsimisaraka"
1107,bzd,bribri
1108,bze,"bozo, jenaama"
1109,bzf,boikin
1110,bzg,babuza
1111,bzh,"buang, mapos"
1112,bzi,bisu
1113,bzj,belize kriol english
1114,bzk,nicaragua creole english
1115,bzl,boano
1116,bzm,bolondo
1117,bzn,boano
1118,bzo,bozaba
1119,bzp,kemberano
1120,bzq,buli
1121,bzr,biri
1122,bzs,brazilian sign language
1123,bzu,burmeso
1124,bzv,naami
1125,bzw,basa
1126,bzx,"bozo, kelengaxo"
1127,bzy,obanliku
1128,bzz,evant
1129,caa,ch’orti’
1130,cab,garifuna
1131,cac,chuj
1132,cad,caddo
1133,cae,laalaa
1134,caf,"carrier, southern"
1135,cag,nivaclé
1136,cah,cahuarano
1137,cak,kaqchikel
1138,cal,carolinian
1139,cam,cemuhî
1140,can,chambri
1141,cao,chácobo
1142,cap,chipaya
1143,caq,"nicobarese, car"
1144,car,carib
1145,cas,tsimané
1146,cat,catalan
1147,cav,cavineña
1148,caw,callawalla
1149,cax,chiquitano
1150,cay,cayuga
1151,caz,canichana
1152,cbb,cabiyarí
1153,cbc,carapana
1154,cbd,carijona
1155,cbg,chimila
1156,cbi,chachi
1157,cbj,ede cabe
1158,cbk,chavacano
1159,cbl,"chin, bualkhaw"
1160,cbn,nyahkur
1161,cbo,izora
1162,cbq,tsucuba
1163,cbr,kakataibo-kashibo
1164,cbs,kashinawa
1165,cbt,shawi
1166,cbu,kandozi-chapra
1167,cbv,cacua
1168,cbw,kinabalian
1169,cby,carabayo
1170,cca,cauca
1171,ccc,chamicuro
1172,ccd,cafundo creole
1173,cce,chopi
1174,ccg,samba daka
1175,cch,atsam
1176,ccj,kasanga
1177,ccl,cutchi-swahili
1178,ccm,malaccan creole malay
1179,cco,"chinantec, comaltepec"
1180,ccp,chakma
1181,ccr,cacaopera
1182,cda,choni
1183,cde,chenchu
1184,cdf,chiru
1185,cdg,chamari
1186,cdh,chambeali
1187,cdi,chodri
1188,cdj,churahi
1189,cdm,chepang
1190,cdn,chaudangsi
1191,cdo,"chinese, min dong"
1192,cdr,kamuku
1193,cds,chadian sign language
1194,cdy,chadong
1195,cdz,koda
1196,cea,"chehalis, lower"
1197,ceb,cebuano
1198,ceg,chamacoco
1199,cek,"chin, eastern khumi"
1200,cen,cen
1201,ces,czech
1202,cet,centúúm
1203,cfa,dikaka
1204,cfd,cara
1205,cfg,como karim
1206,cfm,"chin, falam"
1207,cga,changriwa
1208,cgc,kagayanen
1209,cgg,chiga
1210,cgk,chocangacakha
1211,cha,chamorro
1212,chc,catawba
1213,chd,"chontal, highland oaxaca"
1214,che,chechen
1215,chf,"chontal, tabasco"
1216,chg,chagatai
1217,chh,chinook
1218,chj,"chinantec, ojitlán"
1219,chk,chuukese
1220,chl,cahuilla
1221,chn,chinook wawa
1222,cho,choctaw
1223,chp,dene
1224,chq,"chinantec, quiotepec"
1225,chr,cherokee
1226,cht,cholón
1227,chu,"slavonic, church"
1228,chv,chuvash
1229,chw,chuwabu
1230,chx,chantyal
1231,chy,cheyenne
1232,chz,"chinantec, ozumacín"
1233,cia,cia-cia
1234,cib,"gbe, ci"
1235,cic,chickasaw
1236,cid,chimariko
1237,cie,cineni
1238,cih,chinali
1239,cik,"kinnauri, chitkuli"
1240,cim,cimbrian
1241,cin,cinta larga
1242,cip,chiapanec
1243,cir,tîrî
1244,ciw,chippewa
1245,ciy,chaima
1246,cja,"cham, western"
1247,cje,chru
