language_code,language_name,script_direction,metadata
lez,Lezghian,left-to-right,"{""region"": ""Russian Federation, Europe"", ""alternate-names"": [""Kiurinty"", ""Lezghi"", ""Lezgian"", ""Kiurinsty"", ""Giliar"", ""Quba (Kuba)"", ""Yarki"", ""Samur (Akhty)"", ""Qurush"", ""Qurah"", ""Kiuri (Gelkhen)"", ""G\u00fcne"", ""Fiy"", ""Doquzpara"", ""Dashagyl-Filfil"", ""Jaba""]}"
lfa,Lefa,left-to-right,"{""region"": ""Cameroon, Africa"", ""alternate-names"": [""Balom"", ""Fak"", ""Lefa'"", ""Cama (Tempanye)"", ""Letia"", ""Tingong""]}"
lfn,Lingua Franca Nova,left-to-right,{}
lga,Lungga,left-to-right,"{""region"": ""Solomon Islands, Pacific"", ""alternate-names"": [""Luqa""]}"
lgb,Laghu,left-to-right,"{""region"": ""Solomon Islands, Pacific"", ""alternate-names"": [""Katova"", ""Lagu""]}"
lgg,Lugbara,left-to-right,"{""region"": ""Uganda, Africa"", ""alternate-names"": [""High Lugbara"", ""Arua (Standard Lugbara)"", ""Terego (Omugo)""]}"
lgh,Laghuu,left-to-right,"{""region"": ""Viet Nam, Asia"", ""alternate-names"": [""Laopa"", ""X\u00e1 Ph\u00f3""]}"
lgi,Lengilu,left-to-right,"{""region"": ""Indonesia, Asia""}"
lgk,Lingarak,left-to-right,"{""description"": ""Neverver"", ""region"": ""Vanuatu, Pacific"", ""alternate-names"": [""Bushman's Bay"", ""Nevwervwer"", ""Wuli"", ""Mindu""]}"
lgl,Wala,left-to-right,"{""region"": ""Solomon Islands, Pacific"", ""alternate-names"": [""Langalanga""]}"
lgm,Lega-Mwenga,left-to-right,"{""region"": ""The Democratic Republic of the Congo, Africa"", ""alternate-names"": [""Ileka Ishile"", ""Ishile"", ""Kilega"", ""Kirega"", ""Leka-Shile"", ""Leka-Sile"", ""Rega"", ""Shile""]}"
